"scenario","method","lambda","mse_mean","true_fdr_mean","est_fdr_mean","fdp_mean"
"independent","ncv0",0.0100397260759821,1.41131235310161,0.873498510726225,0.853042819718174,0.873498510726225
"independent","ncv0",0.00919913897850576,1.42928891684958,0.875949805676919,0.857990274201179,0.875949805676919
"independent","ncv0",0.00842893095941227,1.44685875677736,0.878371469820676,0.862877980039872,0.878371469820676
"independent","ncv0",0.00772320945303067,1.46410814976182,0.880335808349068,0.866791079927137,0.880335808349068
"independent","ncv0",0.00707657525522565,1.48085845728135,0.88223603368728,0.870623866100826,0.88223603368728
"independent","ncv0",0.00648408121616084,1.49700598956568,0.883766480348481,0.873680077567098,0.883766480348481
"independent","ncv0",0.00594119439155589,1.51239260535472,0.885402651020807,0.87699770470799,0.885402651020807
"independent","ncv0",0.00544376136287119,1.52710438798197,0.886620002321369,0.879499773840936,0.886620002321369
"independent","ncv0",0.00498797646109815,1.54121661457259,0.88762278544666,0.881538397466347,0.88762278544666
"independent","ncv0",0.00457035265104768,1.55444904466323,0.888621958102606,0.883605117391335,0.888621958102606
"independent","ncv0",0.00418769485338345,1.56707264610777,0.889574413294292,0.885592334332717,0.889574413294292
"independent","ncv0",0.00383707550029739,1.57899190721534,0.890553254286462,0.887617479897928,0.890553254286462
"independent","ncv0",0.00351581213781297,1.59051749627892,0.891374003797299,0.88925193993593,0.891374003797299
"independent","ncv0",0.00322144690336038,1.60150872300529,0.89215748236993,0.890858399671417,0.89215748236993
"independent","ncv0",0.00295172772161419,1.61199769613528,0.892818343920259,0.89222215265627,0.892818343920259
"independent","ncv0",0.00270459107473018,1.62195787886875,0.893424378090901,0.893478106808702,0.893424378090901
"independent","ncv0",0.00247814621516309,1.63137463692945,0.893966035789279,0.894631706281758,0.893966035789279
"independent","ncv0",0.00227066070028343,1.64025045303064,0.894594594037002,0.8959155153116,0.894594594037002
"independent","ncv0",0.00208054713812451,1.64859191059094,0.895079977935955,0.896888258613607,0.895079977935955
"independent","ncv0",0.00190635104285627,1.65641063793128,0.8955100251953,0.897760223260179,0.8955100251953
"independent","ncv0",0.00174673970707301,1.66373555622882,0.895914600325025,0.898547445317611,0.895914600325025
"independent","ncv0",0.00160049200576095,1.67056925110333,0.896221537267145,0.899157818513508,0.896221537267145
"independent","ncv1",1.60049200576095,21.2180248781773,0,0,0
"independent","ncv1",1.46648905393987,21.1935408313332,0,0,0
"independent","ncv1",1.34370564650397,21.0684878041305,0,0,0
"independent","ncv1",1.23120241477144,20.7215594859053,0,0,0
"independent","ncv1",1.12811863973555,20.0794084703867,0,0,0
"independent","ncv1",1.03366566703415,19.1176978306936,0,0,0
"independent","ncv1",0.947120873258172,17.8347093572854,0,0,0
"independent","ncv1",0.867822137437488,16.3193754262012,0,0,0
"independent","ncv1",0.795162775407741,14.6231221266574,0,0,0
"independent","ncv1",0.728586898302864,12.8393715571107,0,0,0
"independent","ncv1",0.66758515966292,11.1236659393378,0,0,0
"independent","ncv1",0.611690858620008,9.5635914767015,0,0,0
"independent","ncv1",0.560476369349204,8.2079278629229,0,0,0
"independent","ncv1",0.513549869467659,7.06098107881104,0,0,0
"independent","ncv1",0.470552342352066,6.09641403876613,0,0,0
"independent","ncv1",0.431154830440396,5.28657734657411,0,0,0
"independent","ncv1",0.395055918503962,4.60663620849415,0,0,0
"independent","ncv1",0.3619794276353,4.03575157618166,0,0,0
"independent","ncv1",0.33167230230944,3.55645924642346,0,0,0
"independent","ncv1",0.303902674353299,3.15405683698214,0,0,0
"independent","ncv1",0.278458089011369,2.81620640526831,0,0,0
"independent","ncv1",0.25514387953599,2.53258651761317,0,0,0
"independent","ncv1",0.233781677866854,2.29453377986546,0.000952380952380952,0.00105820105820106,0.000952380952380952
"independent","ncv1",0.214208050005496,2.09477670667621,0.00285714285714286,0.00211640211640212,0.00285714285714286
"independent","ncv1",0.196273245644555,1.92715373435505,0.00658008658008658,0.00206830206830207,0.00658008658008658
"independent","ncv1",0.179840052485699,1.78656852783569,0.00848484848484848,0.00206830206830207,0.00848484848484848
"independent","ncv1",0.164782746481047,1.66879316381824,0.0130735930735931,0.00206830206830207,0.0130735930735931
"independent","ncv1",0.150986129966773,1.57025557279926,0.0210822510822511,0.00615680615680616,0.0210822510822511
"independent","ncv1",0.138344650330035,1.48803727645293,0.0361151891586674,0.00880649141518707,0.0361151891586674
"independent","ncv1",0.126761592466485,1.41953099477903,0.0514311196050326,0.0104539582800452,0.0514311196050326
"independent","ncv1",0.116148338850154,1.36281384347455,0.080480707698099,0.0158161114248071,0.080480707698099
"independent","ncv1",0.106423691554815,1.31596928875483,0.125154346458694,0.0346882786206458,0.125154346458694
"independent","ncv1",0.0975132510398305,1.27762693332604,0.171034464910849,0.056749552741949,0.171034464910849
"independent","ncv1",0.089348846947856,1.24661399915315,0.234190415809751,0.0921397648105799,0.234190415809751
"independent","ncv1",0.0818680165596217,1.22170671946699,0.307427742829997,0.139221839117657,0.307427742829997
"independent","ncv1",0.0750135269156635,1.20244814172846,0.382319986701368,0.200538084683483,0.382319986701368
"independent","ncv1",0.0687329369489366,1.18792695133161,0.44582953333462,0.249504794175679,0.44582953333462
"independent","ncv1",0.0629781962783572,1.17758894127685,0.509151008143327,0.307845309503507,0.509151008143327
"independent","ncv1",0.0577052775937964,1.17069801535397,0.562984067676792,0.363591953665942,0.562984067676792
"independent","ncv1",0.0528738398200432,1.16701495121884,0.611207231850099,0.418244054777125,0.611207231850099
"independent","ncv1",0.048446919482736,1.16630887782886,0.649471618213086,0.4669725279683,0.649471618213086
"independent","ncv1",0.04439064791502,1.16816506940886,0.684511142973796,0.515432745648082,0.684511142973796
