"method","alpha","model_name","sigma2","n","rep","selected_model_id","selected_size","true_model_id","correct","acv_size","tie_size_min"
"cvc_frac",0.05,"model2",1,80,6,NA,4,14,1,2,1
"cv",NA,"model2",1,80,7,14,4,14,1,NA,NA
"bic",NA,"model2",1,80,7,14,4,14,1,NA,NA
"fy",0.05,"model2",1,80,7,14,4,14,1,2,NA
"cvc_pmax",0.05,"model2",1,80,7,14,4,14,1,2,1
"cvc_frac",0.05,"model2",1,80,7,NA,4,14,1,2,1
"cv",NA,"model2",1,80,8,14,4,14,1,NA,NA
"bic",NA,"model2",1,80,8,14,4,14,1,NA,NA
"fy",0.05,"model2",1,80,8,14,4,14,1,2,NA
"cvc_pmax",0.05,"model2",1,80,8,14,4,14,1,1,1
"cvc_frac",0.05,"model2",1,80,8,NA,4,14,1,1,1
"cv",NA,"model2",1,80,9,14,4,14,1,NA,NA
"bic",NA,"model2",1,80,9,14,4,14,1,NA,NA
"fy",0.05,"model2",1,80,9,14,4,14,1,2,NA
"cvc_pmax",0.05,"model2",1,80,9,14,4,14,1,2,1
"cvc_frac",0.05,"model2",1,80,9,NA,4,14,1,2,1
"cv",NA,"model2",1,80,10,14,4,14,1,NA,NA
"bic",NA,"model2",1,80,10,14,4,14,1,NA,NA
"fy",0.05,"model2",1,80,10,14,4,14,1,2,NA
"cvc_pmax",0.05,"model2",1,80,10,14,4,14,1,2,1
"cvc_frac",0.05,"model2",1,80,10,NA,4,14,1,2,1
"cv",NA,"model2",4,40,1,14,4,14,1,NA,NA
"bic",NA,"model2",4,40,1,14,4,14,1,NA,NA
"fy",0.05,"model2",4,40,1,14,4,14,1,2,NA
"cvc_pmax",0.05,"model2",4,40,1,14,4,14,1,2,1
"cvc_frac",0.05,"model2",4,40,1,NA,4,14,1,2,1
"cv",NA,"model2",4,40,2,14,4,14,1,NA,NA
"bic",NA,"model2",4,40,2,14,4,14,1,NA,NA
"fy",0.05,"model2",4,40,2,14,4,14,1,2,NA
"cvc_pmax",0.05,"model2",4,40,2,14,4,14,1,1,1
"cvc_frac",0.05,"model2",4,40,2,NA,4,14,1,1,1
"cv",NA,"model2",4,40,3,14,4,14,1,NA,NA
"bic",NA,"model2",4,40,3,14,4,14,1,NA,NA
"fy",0.05,"model2",4,40,3,14,4,14,1,2,NA
"cvc_pmax",0.05,"model2",4,40,3,14,4,14,1,2,1
"cvc_frac",0.05,"model2",4,40,3,NA,4,14,1,2,1
"cv",NA,"model2",4,40,4,14,4,14,1,NA,NA
